image_path,annotation_path,city,width,height,crs,transform_json
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img1.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img1.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.48583840001186, 0.0, -2.7000000004798827e-06, 15.517321199936934]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img100.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img100.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53146840001997, 0.0, -2.7000000004798827e-06, 15.63315119995752]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img102.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img102.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53146840001997, 0.0, -2.7000000004798827e-06, 15.640171199958768]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img104.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img104.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53146840001997, 0.0, -2.7000000004798827e-06, 15.647191199960016]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img105.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img105.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53146840001997, 0.0, -2.7000000004798827e-06, 15.65070119996064]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img106.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img106.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53146840001997, 0.0, -2.7000000004798827e-06, 15.654211199961264]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img108.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img108.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53146840001997, 0.0, -2.7000000004798827e-06, 15.685801199966878]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img11.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img11.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.49636840001373, 0.0, -2.7000000004798827e-06, 15.517321199936934]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img113.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img113.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53497840002059, 0.0, -2.7000000004798827e-06, 15.636661199958144]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img114.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img114.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53497840002059, 0.0, -2.7000000004798827e-06, 15.640171199958768]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img115.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img115.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53497840002059, 0.0, -2.7000000004798827e-06, 15.643681199959392]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img116.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img116.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53497840002059, 0.0, -2.7000000004798827e-06, 15.647191199960016]"
data\raw\Khartoum\images\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img118.tif,data\raw\Khartoum\mask\SN3_roads_train_AOI_5_Khartoum_PS-RGB_img118.png,Khartoum,1300,1300,EPSG:4326,"[2.7000000004798827e-06, 0.0, 32.53497840002059, 0.0, -2.7000000004798827e-06, 15.654211199961264]"
